Island,Site,Plot,SY,Date_Survey,Pore_water,Inside_plot,Survey_start,Survey_end,Personnel,Water_depth,Temp,DO_percent,DO_mg_L,Salinity_ppt,SPC,TDS,pH,Syringe_used,Notes,water_depth_below_zero,Salinity_ppt_above_70ppt,TDS_above_70ppt
St John,Francis Bay,A,2024,7/17/2024,,,12:15,NA,,8.6,35.8,87,5.2,21.8,35118,22814,7.82,Y,,,,
St John,Francis Bay,A,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",5,36.7,95.5,3.33,,,,7.82,N,,,,
St John,Francis Bay,A,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",2,38,88.5,3.01,,,,7.81,N,,,,
St John,Francis Bay,C,2024,7/17/2024,,,NA,NA,,13.3,30,3.19,,21.79,34837,22667,7.78,N,,,,
St John,Francis Bay,B,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",2.8,38.6,141.6,4.75,,,,7.78,Y,,,,
St John,Francis Bay,C,2024,7/17/2024,,,NA,NA,,12.5,29.4,48.1,3.23,21.35,34196,22233,7.68,N,,,,
St John,Francis Bay,B,2024,7/17/2024,,,12:02,NA,,9.2,34.7,81.1,5.02,22.04,35389,22981,7.68,N,,,,
St John,Francis Bay,B,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",2.5,39.6,108.5,3.34,,,,7.66,Y,,,,
St John,Francis Bay,C,2023,8/23/2023,NA,NO,NA,NA,"LU, LB",1.5,38.6,94.2,3.63,,,,7.62,Y,,,,
St John,Francis Bay,C,2024,7/17/2024,,,NA,NA,,9.5,29.9,25,1.64,22.15,35349,22977,7.44,N,,,,
St John,Francis Bay,A,2024,7/17/2024,,,12:15,NA,,5.2,35.7,108.2,6.64,22.25,35778,23275,6.9,N,no water in the plot,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",5,30,82.2,6.26,0.01,12.8,8,,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,B,2022,3/11/2022,no,no,15:20,15:25,"AJH, KWG, VB, AND",6.1,34.5,198.7,11.4,40.54,60732,39491,,no,pond water next to site,,,
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",5.5,30.1,36.7,2.09,50.39,73333,47666,,No,Well going to be outside of plot in a channel of the salt pond,,,
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",3.7,29.5,41.1,2.36,50.44,73366,47690,,Yes,Well going to be outside of plot in a channel of the salt pond,,,
St John,Francis Bay,C,2022,10/29/2021,No,No,12:40,NA,"HAS, AND, LU, LP, KWG, VB",4.1,30.4,29.6,1.94,50.52,73504,47781,,No,Well going to be outside of plot in a channel of the salt pond,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",5.8,31.1,100.3,5.65,51.17,74358,48350,,Yes,,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",7.5,30.7,90,5.04,52.57,76140,49482,,Yes,,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",6.4,29.1,66.5,3.79,52.77,76267,49572,,Yes,,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",7.3,30.1,57.2,3.22,52.82,76330,49637,,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",8.7,31.2,79.3,4.4,53.09,76764,49904,,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,A,2022,3/11/2022,no,no,15:08,15:15,"AJH, KWG, VB, AND",6.5,35.2,207.6,8.77,,,,,no,pond water next to site (inside plot dry),,,
St John,Francis Bay,A,2022,3/11/2022,no,no,15:08,15:15,"AJH, KWG, VB, AND",8,35.7,237.5,9.95,,,,,no,pond water next to site (inside plot dry),,,
St John,Francis Bay,C,2022,3/11/2022,no,no,15:29,15:39,"AJH, KWG, VB, AND",7.1,34.1,221.4,9.44,,,,,no,pond water next to site,,,
St John,Francis Bay,C,2022,3/11/2022,no,no,15:29,15:39,"AJH, KWG, VB, AND",5.4,33.9,142.6,6.06,,,,,yes,pond water next to site,,,
St John,Francis Bay,C,2022,3/11/2022,no,yes,15:29,15:39,"AJH, KWG, VB, AND",6.8,35.6,223.7,9.61,,,,,yes,pond water next to site,,,
St John,Francis Bay,A,2022,3/11/2022,no,no,15:08,15:15,"AJH, KWG, VB, AND",9,34.8,223.9,9.4,,,,,no,pond water next to site (inside plot dry),,,
St John,Francis Bay,B,2022,3/11/2022,no,no,15:20,15:25,"AJH, KWG, VB, AND",6.5,34.9,180.2,7.48,,,,,no,pond water next to site,,,
St John,Francis Bay,B,2022,3/11/2022,no,no,15:20,15:25,"AJH, KWG, VB, AND",6.5,33.9,163.8,,,,,,no,pond water next to site,,,
St John,Francis Bay,C,2023,8/23/2023,NA,NO,NA,NA,"LU, LB",1,37.9,62.1,2.33,,,,,Y,,,,
St John,Francis Bay,C,2023,8/23/2023,NA,NO,NA,NA,"LU, LB",2,37.6,96.3,3.43,,,,,Y,,,,
St John,Francis Bay,B,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",2,40.1,115.3,3.64,,,,,Y,,,,
St John,Francis Bay,A,2023,8/23/2023,NA,NA,NA,NA,"LU, LB",2,39.5,82.1,2.52,,,,,Y,"pond dried, hence sal spike",,,
St John,Francis Bay,B,2023,9/2/2022,no,no,12:31,12:41,"LU, KH, AND",4,37,164.2,,,,,,no,"all Francis sites dry, no pore water, sampled at center of pond. SPC too high to read accurately",,,
St John,Francis Bay,B,2023,9/2/2022,no,no,12:31,12:41,"LU, KH, AND",4.1,38.4,169.4,,,,,,no,"all Francis sites dry, no pore water, sampled at center of pond. SPC too high to read accurately",,,
St John,Francis Bay,B,2023,9/2/2022,no,no,12:31,12:41,"LU, KH, AND",16.5,32.4,126.2,4.24,,,,,no,"all Francis sites dry, no pore water, sampled at center of pond. SPC too high to read accurately",,,
St Croix,Great Pond,A,2023,11/15/2022,No,No,10:26,NA,"KWG, HS, AND, AH",5,32.4,97.2,5.09,61,86628,56317,,No,COER on way in,,,
St Croix,Great Pond,A,2023,11/15/2022,No,No,10:26,NA,"KWG, HS, AND, AH",8,31.6,95.8,5.06,61.19,86865,56523,,No,COER on way in,,,
St Croix,Great Pond,A,2023,11/15/2022,No,No,10:26,NA,"KWG, HS, AND, AH",9.5,32.2,123.2,6.48,61.4,87000,56578,,No,COER on way in,,,
St Croix,Great Pond,A,2023,7/13/2023,NA,NO,8:57,NA,"DG, JS, AJH",4,33.4,108.5,3.52,147.05,176257,114587,7.8,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,A,2023,7/13/2023,NA,NO,8:57,NA,"DG, JS, AJH",1.7,32.3,107.7,4.43,105.45,136246,88614,7.62,Y,,,,
St Croix,Great Pond,A,2023,7/13/2023,NA,NO,8:57,NA,"DG, JS, AJH",4,34,108.4,3.36,154.24,182684,118736,7.54,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,B,2023,11/15/2022,No,No,12:10,NA,"KWG, HS, AND, AH",14.5,35.6,118.1,6.91,30.81,47667,31201,,No,,,,
St Croix,Great Pond,B,2023,11/15/2022,No,No,12:10,NA,"KWG, HS, AND, AH",7.5,34.6,175.6,8.63,,,,,No,,,,
St Croix,Great Pond,B,2023,11/15/2022,No,No,12:10,NA,"KWG, HS, AND, AH",5.5,35.3,216.7,10.39,,,,,No,,,,
St Croix,Great Pond,B,2023,7/13/2023,NA,NO,NA,NA,"DG, JS, AJH",7.5,32.3,127.9,4.54,134.52,164269,17014,7.78,N,HARDLY ANY WATER,,,
St Croix,Great Pond,B,2023,7/13/2023,NA,NO,NA,NA,"DG, JS, AJH",2,32.3,112.4,3.99,133.67,136851,106576,7.77,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,B,2023,7/13/2023,NA,NO,NA,NA,"DG, JS, AJH",3,32.7,108.8,3.82,135.35,165333,107271,7.74,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,C,2023,11/15/2022,No,No,13:36,NA,"KWG, HS, AND, AH",3,36.6,113.6,6.24,40.35,60613,39493,,No,Batis on mudflat,,,
St Croix,Great Pond,C,2023,11/15/2022,No,No,13:36,NA,"KWG, HS, AND, AH",5.8,36.3,227.4,9.94,,,,,No,Batis on mudflat,,,
St Croix,Great Pond,C,2023,11/15/2022,No,No,13:36,NA,"KWG, HS, AND, AH",5,37.5,237.4,9.83,,,,,No,Batis on mudflat,,,
St Croix,Great Pond,C,2023,7/13/2023,NA,NO,8:15,NA,"DG, JS, AJH",0.2,32.4,101.5,3.9,117.5,148772,96777,7.63,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,C,2023,7/13/2023,NA,NO,8:15,NA,"DG, JS, AJH",0.2,32.3,98.6,3.72,121.28,151909,98757,7.56,Y,HARDLY ANY WATER,,,
St Croix,Great Pond,C,2023,7/13/2023,NA,NO,8:15,NA,"DG, JS, AJH",0.2,32.4,103,3.85,123.25,154170,100130,7.55,Y,,,,
St Croix,Krause Lagoon,A,2023,7/13/2023,NA,NA,11:14,NA,KH,6.5,31.1,123.9,7.59,35.99,54694,35563,8.02,N,,,,
St Croix,Krause Lagoon,A,2023,7/13/2023,NA,NA,11:14,NA,KH,6.5,31.3,121.2,7.36,36.52,55375,35997,7.98,N,,,,
St Croix,Krause Lagoon,C,2023,7/13/2023,NA,NA,12:32,NA,"LU, KH",17,32.7,126.3,7.54,36.03,54792,35627,7.97,N,,,,
St Croix,Krause Lagoon,C,2023,7/13/2023,NA,NA,12:32,NA,"LU, KH",18,32.7,128.1,7.59,36.63,55577,36124,7.9,N,,,,
St Croix,Krause Lagoon,A,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",14,25.3,93.7,6.25,36.92,55655,36177,7.89,N,,,,
St Croix,Krause Lagoon,A,2023,7/13/2023,NA,NA,11:14,NA,KH,6,31.3,105.9,6.43,36.36,55163,35866,7.88,N,,,,
St Croix,Krause Lagoon,A,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",12.3,25.1,90.6,6.07,36.93,55663,36179,7.83,N,,,,
St Croix,Krause Lagoon,C,2023,7/13/2023,NA,NA,12:32,NA,"LU, KH",12.5,34.4,125.9,7.25,37.26,56572,36781,7.77,N,,,,
St Croix,Krause Lagoon,A,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",17.5,24.7,90.6,6.05,37.09,55855,36305,7.7,N,,,,
St Croix,Krause Lagoon,C,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",17,26.9,77,4.96,36.22,54766,35590,7.56,N,,,,
St Croix,Krause Lagoon,C,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",16,27.5,80,5.07,36.18,54799,35646,7.54,N,,,,
St Croix,Krause Lagoon,B,2023,7/13/2023,NA,NA,12:08,NA,KH,14.5,29.8,96.5,5.99,36.68,55513,36084,7.45,N,,,,
St Croix,Krause Lagoon,B,2023,7/13/2023,NA,NA,12:08,NA,KH,16,30,84.6,5.23,36.94,55866,36313,7.34,N,,,,
St Croix,Krause Lagoon,B,2023,7/13/2023,NA,NA,12:08,NA,KH,11,29.4,90.7,5.66,36.82,55682,36193,7.31,N,,,,
St Croix,Krause Lagoon,B,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",15.5,25.1,60.4,4.04,37.1,55881,36320,7.23,N,,,,
St Croix,Krause Lagoon,B,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",19,25,63.2,4.22,37.09,55868,36318,7.22,N,,,,
St Croix,Krause Lagoon,B,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",16,24.8,61.3,,37.11,55889,36330,7.2,N,,,,
St Croix,Krause Lagoon,C,2023,2/16/2023,NA,NA,1:20,2:30,"KWG,AND",13,27.4,70,4.52,35.79,54222,35329,7.15,N,,,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",30,27.5,60.9,4,35.59,43218,16613,,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",6.5,26.7,20.2,1.33,34.28,51944,33733,,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",23,26.7,33.6,2.22,33.75,51434,33979,,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,A,2022,11/17/2021,No,yes,10:05,NA,"KWG, HS, AND, AH",28,27.2,50.9,3.27,34.68,52687,34255,,No,Sargassum at opening of site and within plot,,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",30,27.2,50.2,3.23,35,53729,34620,,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",29,28.1,53.4,3.38,35.72,54100,35191,,No,Standing water throughout plot,,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",19,27.1,42.29,2.69,33.73,54222,35231,,No,Standing water throughout plot,,,
St Croix,Krause Lagoon,C,2022,11/17/2021,No,yes,16:40,NA,"KWG, HS, AND, AH",29,28,55,3.37,35.83,54136,35246,,No,Standing water throughout plot,,,
St Croix,Krause Lagoon,C,2023,6/24/2022,no,yes,17:15,17:30,"KH, AJH",25,30.1,112.2,6.98,35.72,54267,35287,,no,inside the plot,,,
St Croix,Krause Lagoon,C,2023,6/24/2022,no,yes,17:15,17:30,"KH, AJH",38,30.1,110.6,6.86,35.81,54390,35358,,no,inside the plot,,,
St Croix,Krause Lagoon,C,2023,6/24/2022,no,yes,17:15,17:30,"KH, AJH",32.4,30.1,113.8,7.03,35.89,54472,35409,,no,inside the plot,,,
St Croix,Krause Lagoon,B,2022,11/17/2021,No,yes,13:45,NA,"KWG, HS, AND, AH",29,27.5,58.3,3.75,34.97,53098,35421,,No,"10 out of 10, nice plot, would sample again, standing water throughout plot",,,
St Croix,Krause Lagoon,B,2023,6/24/2022,no,yes,16:50,17:00,"KH, AJH",24.5,30.6,90,5.52,36.13,54854,35563,,no,inside the plot,,,
St Croix,Krause Lagoon,B,2023,6/24/2022,no,yes,16:50,17:00,"KH, AJH",26,30.4,84.1,5.16,36.36,55138,35831,,no,inside the plot,,,
St Croix,Krause Lagoon,B,2023,6/24/2022,no,yes,16:50,17:00,"KH, AJH",23.8,30.1,82.3,5.06,36.57,55375,35993,,no,inside the plot,,,
St Croix,Krause Lagoon,A,2023,6/24/2022,no,no,16:33,16:50,"KH, AJH",14,31.2,61.3,3.66,36.87,55740,36266,,no,water outside plot,,,
St Croix,Krause Lagoon,A,2023,6/24/2022,no,no,16:33,16:50,"KH, AJH",15,31.4,39.3,2.33,36.87,55775,36286,,no,water outside plot,,,
St Croix,Krause Lagoon,A,2023,6/24/2022,no,no,16:33,16:50,"KH, AJH",12,30.7,22,1.29,37.52,56671,36838,,no,water outside plot,,,
St John,Lameshur Bay,A,2024,8/6/2024,,,,,,2,40.1,213.8,10.89,40.58,,43016,8.65,Y,datasheet smudged some data missing,,,
St John,Lameshur Bay,B,2024,8/6/2024,,,,,,2,33.7,95.3,5.44,40.5,60837,39606,8.41,Y,,,,
St John,Lameshur Bay,A,2024,8/6/2024,,,,,,1,40.1,120.6,6.23,43.08,,41858,8.41,Y,datasheet smudged some data missing,,,
St John,Lameshur Bay,C,2023,2/21/2023,NA,NA,NA,NA,,5,26.4,117,7.68,37.5,56624,36768,8.09,N,,,,
St John,Lameshur Bay,A,2024,8/6/2024,,,,,,3,40,102.2,7.09,40.57,63321,650,8.07,Y,,,,
St John,Lameshur Bay,C,2024,8/6/2024,,,,,,2,33.4,112.9,6.59,36.4,58054,31728,7.94,N,,,,
St John,Lameshur Bay,C,2023,2/21/2023,NA,NA,NA,NA,,4,26,112.9,7.44,38.56,57895,37648,7.92,Y,,,,
St John,Lameshur Bay,A,2023,2/21/2023,NA,NA,NA,NA,,4,26.6,138.3,8.97,39,58467,38004,7.86,N,,,,
St John,Lameshur Bay,B,2024,8/6/2024,,,,,,1,36.8,91.5,4.8,47.65,69911,45715,7.83,Y,,,,
St John,Lameshur Bay,C,2024,8/6/2024,,,,,,1,36.5,71.3,4.39,18.59,30380,19784,7.82,Y,,,,
St John,Lameshur Bay,B,2023,2/21/2023,NA,NA,NA,NA,,6,23.9,127.2,8.56,40.9,60880,39571,7.79,N,,,,
St John,Lameshur Bay,C,2024,8/6/2024,,,,,,1,33.1,114.3,6.74,37.28,56527,36589,7.69,N,,,,
St John,Lameshur Bay,A,2023,2/21/2023,NA,NA,NA,NA,,5,25.7,,,39.14,58633,38121,7.69,Y,,,,
St John,Lameshur Bay,A,2023,2/21/2023,NA,NA,NA,NA,,6.3,25.3,90.7,5.99,39.02,58439,57985,7.59,Y,,,,
St John,Lameshur Bay,B,2023,2/21/2023,NA,NA,NA,NA,,8,23.8,59.4,3.89,39.74,59434,38526,7.43,N,,,,
St John,Lameshur Bay,C,2023,2/21/2023,NA,NA,NA,NA,,2.5,25.5,80.1,5.92,17.95,29071,18850,7.42,N,,,,
St John,Lameshur Bay,B,2023,2/21/2023,NA,NA,NA,NA,,6.5,24.4,85.5,5.69,40.91,60913,39575,7.42,N,,,,
St John,Lameshur Bay,B,2024,8/6/2024,,,,,,1,33.1,87.8,5.11,39.1,55999,38318,6.88,Y,,,,
St John,Lameshur Bay,C,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",7,28.5,87,5.67,29.66,45913,21984,,N,RAINING,,,
St John,Lameshur Bay,B,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",5.5,28.7,89.4,5.81,30,46245,30069,,N,RAINING,,,
St John,Lameshur Bay,C,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",8,28.1,65.6,4.27,30.27,46685,30387,,N,RAINING,,,
St John,Lameshur Bay,B,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",6.9,28.7,74.5,4.76,30.54,47135,30635,,N,RAINING,,,
St John,Lameshur Bay,A,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",8,28.6,76,4.83,30.88,47795,30977,,N,RAINING,,,
St John,Lameshur Bay,C,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",6,28.3,94.1,6.11,31.32,48187,31321,,N,RAINING,,,
St John,Lameshur Bay,A,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",10,28.7,84.5,5.45,31.33,48217,31339,,N,RAINING,,,
St John,Lameshur Bay,B,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",10,28.8,73.1,4.66,31.42,48341,31420,,N,RAINING,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",16.1,31.7,121.2,7.45,34.31,52259,34029,,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",12,30.9,102.6,6.25,34.32,52368,34064,,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",4.8,31.3,122.6,7.54,34.51,52680,34237,,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",7.5,32.5,145.2,8.73,34.7,52924,34405,,No,halophila,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",14.5,32.5,129.7,7.82,34.67,52950,34415,,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",14.7,32.9,137.8,8.76,34.71,53001,34444,,No,halophila,,,
St John,Lameshur Bay,B,2022,10/26/2021,No,No,10:20,NA,"KWG, AND, AH, KH, LP",7,30.6,110.9,6.89,34.91,53172,34564,,No,halophila,,,
St John,Lameshur Bay,A,2022,10/26/2021,No,No,11:35,NA,"KWG, AND, AH, KH, LP",9.6,32.8,124.5,7.47,34.9,53128,34585,,No,halophila,,,
St John,Lameshur Bay,C,2022,10/26/2021,No,Yes,13:00,NA,"KWG, AND, AH, KH, LP",13,31.7,97.2,5.91,34.92,52244,34602,,No,halophila,,,
St John,Lameshur Bay,C,2023,9/1/2022,no,yes,12:00,12:10,"AND, AJH, KH",13,31.8,103.3,6.23,35.56,54115,35163,,no,standing water in plot,,,
St John,Lameshur Bay,A,2023,9/1/2022,no,yes,11:41,11:51,"AND, AJH, KH",17.5,32.7,127.6,7.6,35.88,54608,35501,,no,standing water in plot,,,
St John,Lameshur Bay,C,2022,2/25/2022,no,no,15:20,15:39,"LU, KH, LP, AD, TT",4,36.6,191.2,10.79,39.18,59252,35535,,no,pond water at adjacent site: cassiopea and snails,,,
St John,Lameshur Bay,A,2023,9/1/2022,no,yes,11:41,11:51,"AND, AJH, KH",17,32.6,125,7.46,35.92,54667,35541,,no,standing water in plot,,,
St John,Lameshur Bay,B,2023,9/1/2022,no,yes,11:21,11:31,"AND, AJH, KH",13.5,31.1,119.9,7.28,36.36,55072,35798,,no,standing water in plot,,,
St John,Lameshur Bay,C,2023,9/1/2022,no,yes,12:00,12:10,"AND, AJH, KH",17,35.7,148,8.43,36.28,55293,35961,,no,standing water in plot,,,
St John,Lameshur Bay,A,2023,9/1/2022,no,yes,11:41,11:51,"AND, AJH, KH",16.5,32.9,128.5,7.6,36.48,55408,36022,,no,standing water in plot,,,
St John,Lameshur Bay,C,2023,9/1/2022,no,yes,12:00,12:10,"AND, AJH, KH",14,34.9,133.5,7.67,36.66,55755,36248,,no,standing water in plot,,,
St John,Lameshur Bay,B,2023,9/1/2022,no,yes,11:21,11:31,"AND, AJH, KH",15.5,32.2,122.8,7.35,36.87,55883,36324,,no,standing water in plot,,,
St John,Lameshur Bay,A,2022,2/25/2022,yes,yes,16:13,16:20,"LU, KH, LP, AD, TT",6.5,28.6,123.4,7.82,37.43,56153,36335,,yes,pore water at site,,,
St John,Lameshur Bay,B,2023,9/1/2022,no,yes,11:21,11:31,"AND, AJH, KH",16,33.1,136.4,8.09,37.1,56243,36560,,no,standing water in plot,,,
St John,Lameshur Bay,C,2022,2/25/2022,no,no,15:20,15:39,"LU, KH, LP, AD, TT",3.5,35.8,174.7,10.21,38.71,58487,37923,,no,pond water at adjacent site: cassiopea and snails,,,
St John,Lameshur Bay,C,2022,2/25/2022,no,no,15:20,15:39,"LU, KH, LP, AD, TT",2,36,179.3,10.37,39.1,59204,38540,,no,pond water at adjacent site: cassiopea and snails,,,
St John,Lameshur Bay,B,2022,2/25/2022,yes,yes,15:47,16:03,"LU, KH, LP, AD, TT",4,33.1,115.2,6.63,41.96,62685,40892,,yes,pore water at site,,,
St John,Lameshur Bay,C,2022,2/25/2022,yes,yes,15:20,15:39,"LU, KH, LP, AD, TT",0,36.1,88.7,4.83,43.05,64280,41788,,yes,pore water at site,,,
St John,Lameshur Bay,B,2022,2/25/2022,yes,yes,15:47,16:03,"LU, KH, LP, AD, TT",2.5,30.2,29.5,,43.43,64432,41881,,yes,pore water at site,,,
St John,Lameshur Bay,A,2022,2/25/2022,yes,yes,16:13,16:20,"LU, KH, LP, AD, TT",7.8,30.2,103.5,6.11,44.79,66200,43085,,yes,pore water at site,,,
St John,Lameshur Bay,C,2022,2/25/2022,yes,yes,15:20,15:39,"LU, KH, LP, AD, TT",3.5,28,71.3,4.15,45.07,66400,43157,,yes,pore water at site,,,
St John,Lameshur Bay,B,2022,2/25/2022,yes,yes,15:47,16:03,"LU, KH, LP, AD, TT",2.5,31.4,92.5,5.32,46.22,68101,44265,,yes,pore water at site,,,
St John,Lameshur Bay,A,2022,2/25/2022,yes,yes,16:13,16:20,"LU, KH, LP, AD, TT",3.5,28.3,120.1,7.26,46.71,68751,44795,,yes,pore water at site,,,
St John,Lameshur Bay,C,2022,2/25/2022,yes,yes,15:20,15:39,"LU, KH, LP, AD, TT",0,30,41.9,2.21,47.88,70204,45633,,yes,pore water at site,,,
St John,Lameshur Bay,A,2023,8/22/2023,NA,NA,NA,NA,"LU, LB",8,28.8,84.8,5.43,31.26,48125,51268,,N,RAINING,,,
St Thomas,Magens Bay,C,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",20,26.407,,1,22.35,35382,94.63,7.03,N,,,,
St Thomas,Magens Bay,C,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",20,26.356,,1.96,20,26059,16.35,6.99,N,,,,
St Thomas,Magens Bay,B,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",34,27.15,,1.91,24.79,37349,36.16,6.96,N,,,,
St Thomas,Magens Bay,A,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",23.2,25.566,,0.95,15.06,24677,84.69,6.94,N,RAINED IN SAMPLING,,,
St Thomas,Magens Bay,C,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",20,26.539,,1.14,23.98,36290,5.03,6.93,N,,,,
St Thomas,Magens Bay,B,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",38,27.259,,1.33,25.08,40579,54.54,6.89,N,,,,
St Thomas,Magens Bay,B,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",37,27.25,,1.43,24.3,38374,61.95,6.89,N,,,,
St Thomas,Magens Bay,A,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",20.1,25.935,,0.78,18.81,30198,150.62,6.81,N,RAINED IN SAMPLING,,,
St Thomas,Magens Bay,A,2023,11/11/2022,NA,NA,NA,NA,"TNT, KH",20,25.947,,0.55,20.93,35269,11.48,6.77,N,RAINED IN SAMPLING,,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",18.6,25.5,6.6,0.45,4.45,80951,4139,,No,Twin propagules in site,,,
St Thomas,Magens Bay,C,2022,11/30/2021,No,no,9:26,NA,"HAS, LU, LP, AND, KWG, AJH",20.5,26.3,36,2.57,3.76,6643,4384,,No,YSI done outside of plot at channel edge because there was no standing water in the plot. LARA seedlings at the channel edge. At 13.5 m transitions from red to white,,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",12.8,25.3,15.3,1.18,4.43,8030,5195,,No,Twin propagules in site,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",23.1,26.9,11.5,0.9,4.84,9713,5663,,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",20,26.4,5.4,0.41,4.87,8765,5697,,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,B,2022,10/22/2021,No,No,14:22,NA,"HAS, LU, LP, AND, KWG, AJH",24.9,27.5,9.2,0.67,5.24,9370,6095,,No,22 m from hiking path. GPS MB-B entrance is closest way in,,,
St Thomas,Magens Bay,C,2022,3/1/2022,no,no,9:15,9:20,"AND, ZB, LU",9.2,25.8,37.2,2.86,5.32,9496,6176,,no,"sampled in creek, no accessible pore water at site (dry)",,,
St Thomas,Magens Bay,A,2022,10/22/2021,No,Yes,9:40,NA,"HAS, LU, LP, AND, KWG, AJH",24.7,26.1,10.8,0.77,5.76,10255,6602,,No,Twin propagules in site,,,
